M109Barcode_704-508	585.1019421959799
M109Barcode_707-502	1831.129073178273
M109Barcode_710-502	489.06030884067144
M109Barcode_708-508	979.593147046029
M109Barcode_703-507	1052.269919081734
M109Barcode_701-505	1532.6797588167076
M109Barcode_701-501	327.7886781418828
M109Barcode_705-505	359.88357503205594
M109Barcode_707-507	475.085893760231
M109Barcode_712-504	523.5799247981793
M109Barcode_703-503	537.3877196444853
M109Barcode_704-504	136.94388730387146
M109Barcode_706-506	462.27548374610154
M109Barcode_702-502	287.52221047129336
M109Barcode_709-501	191.61892594222235
M109Barcode_711-503	1801.485420967454
M109Barcode_702-506	477.0483945797337
M109Barcode_705-501	1244.586960269739
